%Alpha[deg]   c[m]     y/(b/2)   Xle/Cr    Clstaz    Cl_bas    Cl_add    Ccl/cavg    Cmac2d
  10.14985   1.74064   0.90500   0.22407   0.94091  -0.01319   0.95410   0.70854  -0.05729
  10.14985   1.72479   0.91500   0.22778   0.91074  -0.01281   0.92355   0.67957  -0.05757
  10.14985   1.70893   0.92500   0.23148   0.87626  -0.01237   0.88863   0.64783  -0.05786
  10.14985   1.69307   0.93500   0.23519   0.83651  -0.01184   0.84836   0.61271  -0.05814
  10.14985   1.67721   0.94500   0.23889   0.79023  -0.01122   0.80145   0.57339  -0.05843
  10.14985   1.66136   0.95500   0.24259   0.73558  -0.01048   0.74606   0.52869  -0.05871
  10.14985   1.64550   0.96500   0.24630   0.66984  -0.00957   0.67941   0.47684  -0.05900
  10.14985   1.62964   0.97500   0.25000   0.58847  -0.00843   0.59689   0.41488  -0.05929
  10.14985   1.61379   0.98500   0.25370   0.48271  -0.00693   0.48964   0.33701  -0.05957
  10.14985   1.59793   0.99500   0.25741   0.33008  -0.00475   0.33483   0.22818  -0.05986
  10.14985   1.59000   1.00000   0.25926   0.25376  -0.00366   0.25742   0.17377  -0.06000


  12.14985   2.70000   0.00000   0.00000   1.46971   0.03725   1.43246   1.71673  -0.02000
  12.14985   2.70000   0.00500   0.00000   1.46951   0.03710   1.43241   1.71650  -0.02033
  12.14985   2.70000   0.01500   0.00000   1.46912   0.03680   1.43233   1.71604  -0.02100
  12.14985   2.70000   0.02500   0.00000   1.46844   0.03629   1.43215   1.71525  -0.02167
  12.14985   2.70000   0.03500   0.00000   1.46751   0.03562   1.43189   1.71416  -0.02233
  12.14985   2.70000   0.04500   0.00000   1.46635   0.03481   1.43154   1.71281  -0.02300
  12.14985   2.70000   0.05500   0.00000   1.46499   0.03389   1.43110   1.71122  -0.02367
  12.14985   2.70000   0.06500   0.00000   1.46344   0.03286   1.43058   1.70940  -0.02433
  12.14985   2.70000   0.07500   0.00000   1.46170   0.03175   1.42996   1.70738  -0.02500
  12.14985   2.70000   0.08500   0.00000   1.45980   0.03055   1.42924   1.70515  -0.02567
  12.14985   2.70000   0.09500   0.00000   1.45773   0.02929   1.42844   1.70273  -0.02633
  12.14985   2.70000   0.10500   0.00000   1.45550   0.02797   1.42753   1.70013  -0.02700
  12.14985   2.70000   0.11500   0.00000   1.45312   0.02660   1.42653   1.69735  -0.02767
  12.14985   2.70000   0.12500   0.00000   1.45060   0.02518   1.42542   1.69441  -0.02833
  12.14985   2.70000   0.13500   0.00000   1.44793   0.02372   1.42421   1.69129  -0.02900
  12.14985   2.70000   0.14500   0.00000   1.44512   0.02223   1.42289   1.68801  -0.02967
  12.14985   2.70000   0.15500   0.00000   1.44217   0.02071   1.42146   1.68456  -0.03033
  12.14985   2.70000   0.16500   0.00000   1.43908   0.01917   1.41991   1.68096  -0.03100
  12.14985   2.70000   0.17500   0.00000   1.43586   0.01762   1.41824   1.67719  -0.03167
  12.14985   2.70000   0.18500   0.00000   1.43250   0.01606   1.41644   1.67326  -0.03233
  12.14985   2.70000   0.19500   0.00000   1.42900   0.01449   1.41451   1.66918  -0.03300
  12.14985   2.70000   0.20500   0.00000   1.42536   0.01293   1.41243   1.66492  -0.03367
  12.14985   2.70000   0.21500   0.00000   1.42158   0.01137   1.41021   1.66051  -0.03433
  12.14985   2.70000   0.22500   0.00000   1.41765   0.00983   1.40782   1.65592  -0.03500
  12.14985   2.70000   0.23500   0.00000   1.41357   0.00831   1.40526   1.65115  -0.03567
  12.14985   2.70000   0.24500   0.00000   1.40932   0.00681   1.40251   1.64619  -0.03633
  12.14985   2.70000   0.25500   0.00000   1.40491   0.00536   1.39956   1.64104  -0.03700
  12.14985   2.70000   0.26500   0.00000   1.40032   0.00394   1.39638   1.63568  -0.03767
  12.14985   2.70000   0.27500   0.00000   1.39553   0.00259   1.39294   1.63008  -0.03833
  12.14985   2.70000   0.28500   0.00000   1.39051   0.00130   1.38921   1.62421  -0.03900
  12.14985   2.70000   0.29500   0.00000   1.38520   0.00011   1.38509   1.61801  -0.03967
  12.14985   2.69207   0.30500   0.00185   1.38341  -0.00093   1.38433   1.61117  -0.04014
  12.14985   2.67621   0.31500   0.00556   1.38579  -0.00184   1.38763   1.60444  -0.04043
  12.14985   2.66036   0.32500   0.00926   1.38811  -0.00268   1.39079   1.59761  -0.04071
  12.14985   2.64450   0.33500   0.01296   1.39035  -0.00345   1.39380   1.59065  -0.04100
  12.14985   2.62864   0.34500   0.01667   1.39250  -0.00416   1.39666   1.58355  -0.04129
  12.14985   2.61279   0.35500   0.02037   1.39455  -0.00482   1.39937   1.57631  -0.04157
  12.14985   2.59693   0.36500   0.02407   1.39649  -0.00545   1.40194   1.56894  -0.04186
  12.14985   2.58107   0.37500   0.02778   1.39834  -0.00603   1.40437   1.56142  -0.04214
  12.14985   2.56521   0.38500   0.03148   1.40009  -0.00658   1.40667   1.55377  -0.04243
  12.14985   2.54936   0.39500   0.03519   1.40173  -0.00710   1.40883   1.54597  -0.04271
  12.14985   2.53350   0.40500   0.03889   1.40327  -0.00759   1.41086   1.53804  -0.04300
  12.14985   2.51764   0.41500   0.04259   1.40470  -0.00805   1.41276   1.52998  -0.04329
  12.14985   2.50179   0.42500   0.04630   1.40603  -0.00849   1.41452   1.52178  -0.04357
  12.14985   2.48593   0.43500   0.05000   1.40725  -0.00891   1.41616   1.51344  -0.04386
  12.14985   2.47007   0.44500   0.05370   1.40836  -0.00931   1.41766   1.50497  -0.04414
  12.14985   2.45421   0.45500   0.05741   1.40936  -0.00968   1.41904   1.49637  -0.04443
  12.14985   2.43836   0.46500   0.06111   1.41024  -0.01004   1.42027   1.48763  -0.04471
  12.14985   2.42250   0.47500   0.06481   1.41100  -0.01038   1.42138   1.47876  -0.04500
  12.14985   2.40664   0.48500   0.06852   1.41164  -0.01070   1.42234   1.46975  -0.04529
  12.14985   2.39079   0.49500   0.07222   1.41216  -0.01101   1.42317   1.46060  -0.04557
  12.14985   2.37493   0.50500   0.07593   1.41255  -0.01130   1.42384   1.45131  -0.04586
  12.14985   2.35907   0.51500   0.07963   1.41280  -0.01157   1.42438   1.44188  -0.04614
  12.14985   2.34321   0.52500   0.08333   1.41292  -0.01184   1.42476   1.43230  -0.04643
  12.14985   2.32736   0.53500   0.08704   1.41289  -0.01209   1.42498   1.42258  -0.04671
  12.14985   2.31150   0.54500   0.09074   1.41271  -0.01233   1.42504   1.41271  -0.04700
  12.14985   2.29564   0.55500   0.09444   1.41238  -0.01255   1.42493   1.40269  -0.04729
  12.14985   2.27979   0.56500   0.09815   1.41188  -0.01277   1.42465   1.39251  -0.04757
  12.14985   2.26393   0.57500   0.10185   1.41121  -0.01297   1.42418   1.38216  -0.04786
  12.14985   2.24807   0.58500   0.10556   1.41035  -0.01317   1.42352   1.37165  -0.04814
  12.14985   2.23221   0.59500   0.10926   1.40931  -0.01335   1.42266   1.36097  -0.04843
  12.14985   2.21636   0.60500   0.11296   1.40806  -0.01352   1.42158   1.35010  -0.04871
  12.14985   2.20050   0.61500   0.11667   1.40659  -0.01369   1.42028   1.33905  -0.04900
  12.14985   2.18464   0.62500   0.12037   1.40490  -0.01384   1.41874   1.32780  -0.04929
  12.14985   2.16879   0.63500   0.12407   1.40297  -0.01398   1.41696   1.31635  -0.04957
  12.14985   2.15293   0.64500   0.12778   1.40078  -0.01412   1.41490   1.30469  -0.04986
  12.14985   2.13707   0.65500   0.13148   1.39832  -0.01424   1.41256   1.29280  -0.05014
  12.14985   2.12121   0.66500   0.13519   1.39555  -0.01436   1.40991   1.28067  -0.05043
  12.14985   2.10536   0.67500   0.13889   1.39248  -0.01447   1.40694   1.26829  -0.05071
  12.14985   2.08950   0.68500   0.14259   1.38906  -0.01456   1.40362   1.25565  -0.05100
  12.14985   2.07364   0.69500   0.14630   1.38528  -0.01465   1.39993   1.24273  -0.05129
  12.14985   2.05779   0.70500   0.15000   1.38110  -0.01473   1.39583   1.22951  -0.05157
  12.14985   2.04193   0.71500   0.15370   1.37649  -0.01480   1.39129   1.21596  -0.05186
  12.14985   2.02607   0.72500   0.15741   1.37142  -0.01485   1.38627   1.20207  -0.05214
  12.14985   2.01021   0.73500   0.16111   1.36584  -0.01490   1.38074   1.18781  -0.05243
  12.14985   1.99436   0.74500   0.16481   1.35971  -0.01494   1.37465   1.17316  -0.05271
  12.14985   1.97850   0.75500   0.16852   1.35298  -0.01496   1.36795   1.15807  -0.05300
  12.14985   1.96264   0.76500   0.17222   1.34559  -0.01498   1.36057   1.14251  -0.05329
  12.14985   1.94679   0.77500   0.17593   1.33747  -0.01498   1.35245   1.12644  -0.05357
  12.14985   1.93093   0.78500   0.17963   1.32856  -0.01496   1.34352   1.10982  -0.05386
  12.14985   1.91507   0.79500   0.18333   1.31876  -0.01494   1.33369   1.09259  -0.05414
  12.14985   1.89921   0.80500   0.18704   1.30797  -0.01490   1.32287   1.07468  -0.05443
  12.14985   1.88336   0.81500   0.19074   1.29610  -0.01484   1.31093   1.05603  -0.05471
  12.14985   1.86750   0.82500   0.19444   1.28300  -0.01476   1.29776   1.03656  -0.05500
  12.14985   1.85164   0.83500   0.19815   1.26853  -0.01466   1.28319   1.01616  -0.05529
  12.14985   1.83579   0.84500   0.20185   1.25252  -0.01455   1.26706   0.99474  -0.05557
  12.14985   1.81993   0.85500   0.20556   1.23475  -0.01440   1.24915   0.97217  -0.05586
  12.14985   1.80407   0.86500   0.20926   1.21500  -0.01423   1.22923   0.94828  -0.05614
  12.14985   1.78821   0.87500   0.21296   1.19296  -0.01403   1.20699   0.92289  -0.05643
  12.14985   1.77236   0.88500   0.21667   1.16829  -0.01379   1.18208   0.89579  -0.05671
  12.14985   1.75650   0.89500   0.22037   1.14056  -0.01351   1.15408   0.86671  -0.05700
  12.14985   1.74064   0.90500   0.22407   1.10925  -0.01319   1.12244   0.83531  -0.05729
  12.14985   1.72479   0.91500   0.22778   1.07370  -0.01281   1.08651   0.80117  -0.05757
  12.14985   1.70893   0.92500   0.23148   1.03305  -0.01237   1.04542   0.76375  -0.05786
  12.14985   1.69307   0.93500   0.23519   0.98620  -0.01184   0.99805   0.72235  -0.05814
  12.14985   1.67721   0.94500   0.23889   0.93164  -0.01122   0.94286   0.67599  -0.05843
  12.14985   1.66136   0.95500   0.24259   0.86722  -0.01048   0.87770   0.62330  -0.05871
  12.14985   1.64550   0.96500   0.24630   0.78972  -0.00957   0.79929   0.56218  -0.05900
  12.14985   1.62964   0.97500   0.25000   0.69379  -0.00843   0.70221   0.48913  -0.05929
  12.14985   1.61379   0.98500   0.25370   0.56910  -0.00693   0.57604   0.39732  -0.05957
  12.14985   1.59793   0.99500   0.25741   0.38916  -0.00475   0.39391   0.26902  -0.05986
  12.14985   1.59000   1.00000   0.25926   0.29918  -0.00366   0.30284   0.20487  -0.06000


